 3.40700E+03	 5.53288E+04
 3.40860E+03	 5.65086E+04
 3.41021E+03	 3.74091E+04
 3.41182E+03	 3.03047E+04
 3.41343E+03	 2.73881E+04
 3.41505E+03	 4.29929E+04
 3.41667E+03	 5.99789E+04
 3.41830E+03	 6.91752E+04
 3.41993E+03	 6.38579E+04
 3.42156E+03	 4.15417E+04
 3.42319E+03	 3.16181E+04
 3.42483E+03	 4.57288E+04
 3.42648E+03	 6.26465E+04
 3.42813E+03	 7.85005E+04
 3.42977E+03	 7.39275E+04
 3.43143E+03	 6.83557E+04
 3.43309E+03	 7.39802E+04
 3.43475E+03	 9.39974E+04
 3.43642E+03	 1.02807E+05
 3.43808E+03	 1.01358E+05
 3.43976E+03	 6.61231E+04
 3.44143E+03	 4.54128E+04
 3.44311E+03	 3.17084E+04
 3.44480E+03	 1.36065E+04
 3.44648E+03	 8.19175E+03
 3.44818E+03	 6.84900E+03
 3.44987E+03	 3.61967E+04
 3.45157E+03	 5.66872E+04
 3.45327E+03	 4.20317E+04
 3.45498E+03	 3.76241E+04
 3.45669E+03	 4.30144E+04
 3.45840E+03	 4.35234E+04
 3.46012E+03	 3.88463E+04
 3.46184E+03	 5.42143E+04
 3.46356E+03	 4.77366E+04
 3.46529E+03	 5.38634E+04
 3.46702E+03	 3.03731E+04
 3.46876E+03	 5.44888E+03
 3.47050E+03	 2.64325E+04
 3.47224E+03	 4.34536E+04
 3.47399E+03	 4.00415E+04
 3.47574E+03	 3.93474E+04
 3.47749E+03	 3.08912E+04
 3.47925E+03	 3.08994E+04
 3.48101E+03	 2.25230E+04
 3.48277E+03	 3.21354E+04
 3.48454E+03	 2.53416E+04
 3.48631E+03	 5.75487E+04
 3.48809E+03	 7.46819E+04
 3.48987E+03	 7.18482E+04
 3.49165E+03	 5.78296E+04
 3.49344E+03	 2.57319E+04
 3.49523E+03	 1.20499E+04
 3.49703E+03	 2.39391E+04
 3.49883E+03	 2.60047E+04
 3.50063E+03	 5.38391E+04
 3.50243E+03	 7.87514E+04
 3.50424E+03	 7.02044E+04
 3.50605E+03	 8.39001E+04
 3.50787E+03	 9.00089E+04
 3.50969E+03	 9.50989E+04
 3.51151E+03	 1.30432E+05
 3.51334E+03	 1.35485E+05
 3.51517E+03	 1.28378E+05
 3.51701E+03	 8.84069E+04
 3.51885E+03	 6.52668E+04
 3.52069E+03	 6.86661E+04
 3.52253E+03	 8.24422E+04
 3.52438E+03	 8.88736E+04
 3.52624E+03	 8.31398E+04
 3.52809E+03	 7.80110E+04
 3.52995E+03	 8.93696E+04
 3.53182E+03	 1.17608E+05
 3.53369E+03	 1.23466E+05
 3.53556E+03	 1.09628E+05
 3.53743E+03	 5.13202E+04
 3.53931E+03	 4.23004E+04
 3.54120E+03	 3.60766E+04
 3.54308E+03	 3.98965E+04
 3.54497E+03	 3.42186E+04
 3.54687E+03	 3.33395E+04
 3.54876E+03	 3.17996E+04
 3.55067E+03	 3.82796E+04
 3.55257E+03	 5.75619E+04
 3.55448E+03	 7.89009E+04
 3.55639E+03	 7.89356E+04
 3.55831E+03	 3.94544E+04
 3.56023E+03	 8.17462E+03
 3.56215E+03	 8.58150E+03
 3.56408E+03	 5.38875E+02
 3.56601E+03	 2.21084E+04
 3.56794E+03	 2.98354E+04
 3.56988E+03	 5.99625E+02
 3.57182E+03	 2.39936E+04
 3.57377E+03	 5.14944E+04
 3.57571E+03	 6.92955E+04
 3.57767E+03	 1.01006E+05
 3.57962E+03	 1.44711E+05
 3.58158E+03	 1.68382E+05
 3.58355E+03	 1.77306E+05
 3.58552E+03	 1.85333E+05
 3.58749E+03	 2.05047E+05
 3.58946E+03	 2.00686E+05
 3.59144E+03	 1.87052E+05
 3.59342E+03	 1.34783E+05
 3.59541E+03	 1.45786E+05
 3.59740E+03	 1.87998E+05
 3.59939E+03	 2.42234E+05
 3.60139E+03	 3.08185E+05
 3.60339E+03	 3.42946E+05
 3.60539E+03	 3.96885E+05
 3.60740E+03	 4.58572E+05
 3.60941E+03	 5.44828E+05
 3.61143E+03	 6.18565E+05
 3.61345E+03	 6.66998E+05
 3.61547E+03	 6.38926E+05
 3.61750E+03	 5.99923E+05
 3.61953E+03	 5.96889E+05
 3.62156E+03	 5.67095E+05
 3.62360E+03	 5.04256E+05
 3.62564E+03	 6.54176E+05
 3.62768E+03	 7.54733E+05
 3.62973E+03	 8.44852E+05
 3.63178E+03	 8.63745E+05
 3.63384E+03	 8.49619E+05
 3.63590E+03	 8.52770E+05
 3.63796E+03	 9.23160E+05
 3.64003E+03	 1.05346E+06
 3.64210E+03	 1.15490E+06
 3.64417E+03	 1.28330E+06
 3.64625E+03	 1.41388E+06
 3.64833E+03	 1.53364E+06
 3.65042E+03	 1.62525E+06
 3.65251E+03	 1.69404E+06
 3.65460E+03	 1.88287E+06
 3.65670E+03	 1.93778E+06
 3.65880E+03	 2.02455E+06
 3.66090E+03	 2.07616E+06
 3.66301E+03	 2.10064E+06
 3.66512E+03	 2.11184E+06
